"","A","B","C","loss","t_c","m","omega","phi"
"75",9.7,-0.1,0.04,2.17526053199721,2001.27008915202,0.790394670392076,6.38521475096544,2.07677653286715
"76",10,-0.3,0.05,2.19132420363491,2000.6126990589,0.581222514528781,6.25436608838694,1.38271950893003
"77",9.925,-0.2,0.04,2.25225749832623,2000.58520464015,0.742398900104066,7.50319047974578,2.47806350935283
"78",9.925,-0.2,0.05,2.25808101224946,2000.87576930976,0.70507937502116,7.43302463899211,3.15243697760418
"79",9.85,-0.1,0.05,2.2596729473638,2001.38828812251,0.884100662792722,6.05722777642465,1.09574198119077
"80",10,-0.7,0.03,2.27748735017168,1997.60886451406,0.335420731392999,6.99437886010855,3.12206700747588
"81",10,-0.2,0.02,2.3349555927463,2000.82088190603,0.830681499683609,8.28881994305023,4.52585724344246
"82",9.775,-0.1,0.04,2.36715611953825,2001.20669203599,0.875278966904928,7.33051346533466,3.05718038666862
"83",10,-0.7,0.01,2.38443784823265,1997.6060100037,0.320130645204335,7.55661704387361,2.60065891902944
"84",9.7,-0.2,0.02,2.38590529947159,1998.48485666069,0.890942428695659,11.6943348971351,4.09253639379833
"85",10,-0.7,0.04,2.39658992307022,1997.61708318433,0.276205507044991,9.27570308197755,3.93000596551361
"86",10,-0.3,0.04,2.40489392819829,2000.01517936997,0.625401364422093,6.57413444730143,0.760130398268846
"87",9.85,-0.2,0.03,2.43736635194748,1999.58639788851,0.834856650823106,6.68140032254936,6.2460988438881
"88",9.925,-0.3,0.04,2.45408739761755,1998.648987424,0.890820856609692,11.3022712005768,5.35767820673014
"89",9.85,-0.2,0.02,2.45845914689469,1999.37606279139,0.853035058205326,6.10020115715452,5.15953929811977
"90",9.7,-0.2,0.01,2.46393136241022,1998.4117652464,0.898521057454248,6.53966159691724,3.88462845935834
"91",9.7,-0.4,0.03,2.47239492434948,1997.60919007091,0.444014590078344,7.70741701091174,3.35169326840753
"92",9.7,-0.4,0.01,2.50064891796336,1997.60356346648,0.494333227848013,6.57402920067155,1.36511003290277
"93",9.7,-0.4,0.02,2.54126053548616,1997.6249911882,0.561768105781327,7.09104947206409,3.6042247663752
"94",9.85,-0.3,0.05,2.60227628386172,1998.40224746016,0.761392303835601,12.9801174215584,5.24828812114257
"95",9.775,-0.1,0.03,2.62029506856516,2001.51443159742,0.866591196351995,6.53107769884324,2.23501986752959
"96",10,-0.7,0.05,2.63325057209925,1997.61409227028,0.313549778051674,6.16410554964871,1.82982897516539
"97",9.7,-0.1,0.03,2.63953404681997,2000.85615076426,0.860155033723762,6.91758066660259,2.3588883099817
"98",9.775,-0.2,0.01,2.73598299790302,1998.871410143,0.895421896719684,8.25061436598965,0.924150109098638
"99",9.7,-0.4,0.05,2.75487709177041,1997.60423212536,0.641026116007318,6.4161643316426,3.90397020106523
"100",9.7,-0.4,0.04,2.77919740526127,1997.61870320567,0.476133188294868,9.08967640336292,4.16590429119146
"101",9.925,-0.2,0.01,2.82765059377738,2000.08116535228,0.864074638703217,7.50771808895903,1.86531953405343
"102",9.925,-0.3,0.05,2.84929480058527,1999.96190274249,0.553491514579703,6.27690662319462,5.95930301154956
"103",9.775,-0.2,0.03,2.87431619218626,1998.75975153741,0.889347801481684,6.5684709562532,3.97142327099254
"104",9.7,-0.2,0.04,2.9138731039008,1998.32103622509,0.895705155438433,11.0848953316842,2.00923267546295
"105",9.85,-0.2,0.01,2.98472433396327,1999.37119754208,0.889365872585525,11.8201179058136,1.22429889151543
"106",9.775,-0.2,0.04,2.99366072072552,1999.08163083646,0.814434794212381,6.29846651219608,4.56998845823326
"107",9.775,-0.2,0.02,3.00629982413692,1998.76372952346,0.888506487819056,9.23634627213081,1.66348838088815
"108",10,-0.2,0.01,3.03238444008042,2000.40696595771,0.870005047414452,10.0372876827217,5.97134555153921
"109",9.775,-0.2,0.05,3.03359079036004,2000.48137806517,0.586152127664536,6.58572310426583,1.5716362202484
"110",9.7,-0.2,0.03,3.04741385607066,1998.56445286041,0.866069180083772,12.3780991626748,5.74010837495788
"111",9.85,-0.1,0.04,3.06615649528914,2001.51990210287,0.874333630253871,6.60595390724484,2.17011696127446
"112",9.7,-0.2,0.05,3.24654832962133,1998.38673634647,0.857455417731156,12.4840147116144,3.63652091636329
"113",9.775,-0.5,0.04,3.37033642385962,1997.61199135867,0.412098370927076,6.48190464362657,2.75782880146591
"114",9.775,-0.1,0.05,3.42168359191828,2001.58154103368,0.874103656318039,7.21876894240268,4.0558439043422
"115",9.775,-0.5,0.01,3.4907155204008,1997.60333370874,0.381041312900682,6.39818277264324,2.71348926738444
"116",9.775,-0.5,0.05,3.81281945501804,1997.60067858786,0.319142241682857,7.69349967335196,3.04080427395494
"117",9.775,-0.5,0.02,3.88503628311447,1997.62196735066,0.37565755173564,7.85757884418126,3.80861573530232
"118",9.775,-0.5,0.03,3.89801490531873,1997.63373015455,0.358042915413777,6.77786523941904,3.11778130216286
"119",9.7,-0.1,0.02,4.3476355427653,2001.42103100481,0.847752485579501,7.7806053206635,4.58791856030922
"120",9.775,-0.1,0.02,4.51735580555273,2001.2987190734,0.877457593784978,6.72019854253934,2.57032501812167
"121",9.85,-0.6,0.02,5.6364147450299,1997.60163062088,0.298239345382899,10.23140959593,4.98875809842397
"122",9.85,-0.6,0.03,5.78043266168048,1997.61472894646,0.336610700655729,7.90345786337275,4.29996668085287
"123",9.85,-0.6,0.01,5.79195316662917,1997.61211823989,0.301988579488049,10.1876679459043,4.85788791743372
"124",9.85,-0.6,0.05,5.81199231520899,1997.60188159275,0.297190130781382,8.60659128318851,4.00845553219391
"125",9.85,-0.6,0.04,5.97728856028301,1997.63739773094,0.315417597660174,6.38905039689659,3.80727923894617
"126",9.775,-0.1,0.01,6.14867110574504,2001.54799174617,0.895517018157989,9.85502239052827,1.89578178773619
"127",9.7,-0.1,0.01,6.29757401600741,2000.98648069277,0.895029204090436,6.71608835272491,2.04061000610424
"128",9.85,-0.1,0.03,7.45405536135959,2001.59253376822,0.861096204444766,7.42882779411351,3.25779718080145
"129",9.925,-0.1,0.05,7.556736664269,2001.54260865046,0.884911898026864,6.76628202603509,1.93713710669407
"130",9.925,-0.7,0.02,7.89987631110386,1997.60061358108,0.225197361813237,6.39477472375923,2.41198464103225
"131",9.925,-0.7,0.01,8.0684098662235,1997.60353711611,0.257321688346565,9.46926821469484,2.95442721808385
"132",9.85,-0.1,0.02,8.30304614753848,2001.37201204297,0.891716403514147,7.21242171510433,2.99383565177092
"133",9.925,-0.7,0.04,8.47899398915623,1997.60264589908,0.23781868952016,12.3212012484825,3.34167589175311
"134",9.925,-0.7,0.03,8.71836981511608,1997.62089346138,0.292534643008063,12.5456699611774,4.37015870329902
"135",9.925,-0.7,0.05,8.8231089419877,1997.60226279519,0.302280625825127,7.77128729464797,2.76694944176576
"136",10,-0.8,0.03,11.3721978291628,1997.61631199988,0.220703322098901,7.13140511047095,3.36225530531115
"137",10,-0.8,0.02,11.4960009161066,1997.60434937732,0.203422427518914,9.291210899828,3.2338920670537
"138",10,-0.8,0.04,11.7875117603172,1997.61663618131,0.229005386835585,6.84382373439924,4.49345179518737
"139",10,-0.8,0.05,11.9375932686897,1997.60130325261,0.208271957747638,10.6991483829916,2.45689560237501
"140",9.7,-0.5,0.01,12.3211634929004,1997.6018251009,0.34027842534706,6.19990429107565,4.80374092715233
"141",9.7,-0.5,0.03,12.3776280711016,1997.60114681991,0.291807109334817,7.18413594427208,2.47744661752348
"142",10,-0.8,0.01,12.4082436693237,1997.60212996655,0.29518504627049,11.5618367335216,0.198026700111682
"143",9.7,-0.5,0.02,12.4296006971308,1997.60655703805,0.361264104644458,8.1503890172268,3.36858172234038
"144",9.7,-0.5,0.04,12.4735978589323,1997.6005538313,0.337346554982166,6.40077065350488,1.86278696977339
"145",9.7,-0.5,0.05,13.6290282333774,1997.6048908256,0.3213936294429,9.79788151499815,1.33686022947268
"146",9.85,-0.1,0.01,13.7735966999846,2001.33258970693,0.898698870744556,10.5640326022791,2.58299387625332
"147",9.775,-0.6,0.03,15.5454175085541,1997.60123778218,0.315965023140113,6.83900762438619,3.38623518026824
